[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Nivel],[Tipo],[Cuenta de la subcuenta],[Desglose de la subcuenta],[C/D de la subcuenta],[Ultimo epigrafe],[Izquierda(3)],[Sin signo],[Orden],[Order parent]
16,Intangibles,Intangibles,Asset,E,,Yes,,1,,,,,,,,,,  
1605,Crédito mercantil,Crédito mercantil,Asset,E,,Yes,,16,,,,,,,,,,  
160505,Formado o estimado,Formado o estimado,Asset,E,,No,,1605,,,,,,,,,,  
160510,Adquirido o comprado,Adquirido o comprado,Asset,E,,No,,1605,,,,,,,,,,  
160599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1605,,,,,,,,,,  
1610,Marcas,Marcas,Asset,E,,Yes,,16,,,,,,,,,,  
161005,Adquiridas,Adquiridas,Asset,E,,No,,1610,,,,,,,,,,  
161010,Formadas,Formadas,Asset,E,,No,,1610,,,,,,,,,,  
161099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1610,,,,,,,,,,  
1615,Patentes,Patentes,Asset,E,,Yes,,16,,,,,,,,,,  
161505,Adquiridas,Adquiridas,Asset,E,,No,,1615,,,,,,,,,,  
161510,Formadas,Formadas,Asset,E,,No,,1615,,,,,,,,,,  
161599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1615,,,,,,,,,,  
1620,Concesiones y franquicias,Concesiones y franquicias,Asset,E,,Yes,,16,,,,,,,,,,  
162005,Concesiones ,Concesiones ,Asset,E,,No,,1620,,,,,,,,,,  
162010,Franquicias,Franquicias,Asset,E,,No,,1620,,,,,,,,,,  
162099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1620,,,,,,,,,,  
1625,Derechos,Derechos,Asset,E,,Yes,,16,,,,,,,,,,  
162505,Derechos de autor,Derechos de autor,Asset,E,,No,,1625,,,,,,,,,,  
162510,Puesto de bolsa,Puesto de bolsa,Asset,E,,No,,1625,,,,,,,,,,  
162515,En fideicomisos inmobiliarios,En fideicomisos inmobiliarios,Asset,E,,No,,1625,,,,,,,,,,  
162520,En fideicomisos de garantía,En fideicomisos de garantía,Asset,E,,No,,1625,,,,,,,,,,  
162525,En fideicomisos de administración,En fideicomisos de administración,Asset,E,,No,,1625,,,,,,,,,,  
162530,De exhibición - películas,De exhibición - películas,Asset,E,,No,,1625,,,,,,,,,,  
162535,En bienes recibidos en arrendamiento financiero (leasing),En bienes recibidos en arrendamiento financiero (leasing),Asset,E,,No,,1625,,,,,,,,,,  
162595,Otros,Otros,Asset,E,,No,,1625,,,,,,,,,,  
162599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1625,,,,,,,,,,  
1630,Know how,Know how,Asset,E,,Yes,,16,,,,,,,,,,  
163099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1630,,,,,,,,,,  
1635,Licencias,Licencias,Asset,E,,Yes,,16,,,,,,,,,,  
163599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1635,,,,,,,,,,  
1698,Depreciación y/o amortización acumulada,Depreciación y/o amortización acumulada,Asset,E,,Yes,,16,,,,,,,,,,  
169805,Crédito mercantil,Crédito mercantil,Asset,E,,No,,1698,,,,,,,,,,  
169810,Marcas,Marcas,Asset,E,,No,,1698,,,,,,,,,,  
169815,Patentes,Patentes,Asset,E,,No,,1698,,,,,,,,,,  
169820,Concesiones y franquicias,Concesiones y franquicias,Asset,E,,No,,1698,,,,,,,,,,  
169830,Derechos,Derechos,Asset,E,,No,,1698,,,,,,,,,,  
169835,Know how,Know how,Asset,E,,No,,1698,,,,,,,,,,  
169840,Licencias,Licencias,Asset,E,,No,,1698,,,,,,,,,,  
169899,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1698,,,,,,,,,,  
1699,Provisiones,Provisiones,Asset,E,,Yes,,16,,,,,,,,,,  
17,Diferidos,Diferidos,Asset,E,,Yes,,1,,,,,,,,,,  
1705,Gastos pagados por anticipado,Gastos pagados por anticipado,Asset,E,,Yes,,17,,,,,,,,,,  
170505,Intereses,Intereses,Asset,E,,No,,1705,,,,,,,,,,  
170510,Honorarios,Honorarios,Asset,E,,No,,1705,,,,,,,,,,  
170515,Comisiones,Comisiones,Asset,E,,No,,1705,,,,,,,,,,  
170520,Seguros y fianzas,Seguros y fianzas,Asset,E,,No,,1705,,,,,,,,,,  
170525,Arrendamientos,Arrendamientos,Asset,E,,No,,1705,,,,,,,,,,  
170530,Bodegajes,Bodegajes,Asset,E,,No,,1705,,,,,,,,,,  
170535,Mantenimiento equipos,Mantenimiento equipos,Asset,E,,No,,1705,,,,,,,,,,  
170540,Servicios,Servicios,Asset,E,,No,,1705,,,,,,,,,,  
170545,Suscripciones,Suscripciones,Asset,E,,No,,1705,,,,,,,,,,  
170595,Otros,Otros,Asset,E,,No,,1705,,,,,,,,,,  
1710,Cargos diferidos,Cargos diferidos,Asset,E,,Yes,,17,,,,,,,,,,  
171004,Organización y preoperativos,Organización y preoperativos,Asset,E,,No,,1710,,,,,,,,,,  
171008,Remodelaciones,Remodelaciones,Asset,E,,No,,1710,,,,,,,,,,  
171012,Estudios, investigaciones y proyectos,Estudios, investigaciones y proyectos,Asset,E,,No,,1710,,,,,,,,,,  
171016,Programas para computador (software),Programas para computador (software),Asset,E,,No,,1710,,,,,,,,,,  
171020,Útiles y papelería,Útiles y papelería,Asset,E,,No,,1710,,,,,,,,,,  
171024,Mejoras a propiedades ajenas,Mejoras a propiedades ajenas,Asset,E,,No,,1710,,,,,,,,,,  
171028,Contribuciones y afiliaciones,Contribuciones y afiliaciones,Asset,E,,No,,1710,,,,,,,,,,  
171032,Entrenamiento de personal,Entrenamiento de personal,Asset,E,,No,,1710,,,,,,,,,,  
171036,Ferias y exposiciones,Ferias y exposiciones,Asset,E,,No,,1710,,,,,,,,,,  
171040,Licencias,Licencias,Asset,E,,No,,1710,,,,,,,,,,  
171044,Publicidad, propaganda y promoción,Publicidad, propaganda y promoción,Asset,E,,No,,1710,,,,,,,,,,  
171048,Elementos de aseo y cafetería,Elementos de aseo y cafetería,Asset,E,,No,,1710,,,,,,,,,,  
171052,Moldes y troqueles,Moldes y troqueles,Asset,E,,No,,1710,,,,,,,,,,  
171056,Instrumental quirúrgico,Instrumental quirúrgico,Asset,E,,No,,1710,,,,,,,,,,  
171060,Dotación y suministro a trabajadores,Dotación y suministro a trabajadores,Asset,E,,No,,1710,,,,,,,,,,  
171064,Elementos de ropería y lencería,Elementos de ropería y lencería,Asset,E,,No,,1710,,,,,,,,,,  
171068,Loza y cristalería,Loza y cristalería,Asset,E,,No,,1710,,,,,,,,,,  
171069,Platería,Platería,Asset,E,,No,,1710,,,,,,,,,,  
171070,Cubiertería,Cubiertería,Asset,E,,No,,1710,,,,,,,,,,  
171076,Impuesto de renta diferido “débitos” por diferencias temporales,Impuesto de renta diferido “débitos” por diferencias temporales,Asset,E,,No,,1710,,,,,,,,,,  
171080,Concursos y licitaciones,Concursos y licitaciones,Asset,E,,No,,1710,,,,,,,,,,  
171095,Otros,Otros,Asset,E,,No,,1710,,,,,,,,,,  
171099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1710,,,,,,,,,,  
1715,Costos de exploración por amortizar,Costos de exploración por amortizar,Asset,E,,Yes,,17,,,,,,,,,,  
171505,Pozos secos,Pozos secos,Asset,E,,No,,1715,,,,,,,,,,  
171510,Pozos no comerciales,Pozos no comerciales,Asset,E,,No,,1715,,,,,,,,,,  
171515,Otros costos de exploración,Otros costos de exploración,Asset,E,,No,,1715,,,,,,,,,,  
171599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1715,,,,,,,,,,  
1720,Costos de explotación y desarrollo,Costos de explotación y desarrollo,Asset,E,,Yes,,17,,,,,,,,,,  
172005,Perforación y explotación,Perforación y explotación,Asset,E,,No,,1720,,,,,,,,,,  
172010,Perforaciones campos en desarrollo,Perforaciones campos en desarrollo,Asset,E,,No,,1720,,,,,,,,,,  
172015,Facilidades de producción,Facilidades de producción,Asset,E,,No,,1720,,,,,,,,,,  
172020,Servicio a pozos,Servicio a pozos,Asset,E,,No,,1720,,,,,,,,,,  
172099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1720,,,,,,,,,,  
1730,Cargos por corrección monetaria diferida,Cargos por corrección monetaria diferida,Asset,E,,Yes,,17,,,,,,,,,,  
1798,Amortización acumulada,Amortización acumulada,Asset,E,,Yes,,17,,,,,,,,,,  
179805,Costos de exploración por amortizar,Costos de exploración por amortizar,Asset,E,,No,,1798,,,,,,,,,,  
179810,Costos de explotación y desarrollo,Costos de explotación y desarrollo,Asset,E,,No,,1798,,,,,,,,,,  
179899,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1798,,,,,,,,,,  
18,Otros activos,Otros activos,Asset,E,,Yes,,1,,,,,,,,,,  
1805,Bienes de arte y cultura,Bienes de arte y cultura,Asset,E,,Yes,,18,,,,,,,,,,  
180505,Obras de arte,Obras de arte,Asset,E,,No,,1805,,,,,,,,,,  
180510,Bibliotecas,Bibliotecas,Asset,E,,No,,1805,,,,,,,,,,  
180595,Otros,Otros,Asset,E,,No,,1805,,,,,,,,,,  
180599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1805,,,,,,,,,,  
1895,Diversos,Diversos,Asset,E,,Yes,,18,,,,,,,,,,  
189505,Máquinas porteadoras,Máquinas porteadoras,Asset,E,,No,,1895,,,,,,,,,,  
189510,Bienes entregados en comodato,Bienes entregados en comodato,Asset,E,,No,,1895,,,,,,,,,,  
189515,Amortización acumulada de bienes entregados en comodato (CR),Amortización acumulada de bienes entregados en comodato (CR),Asset,E,,No,,1895,,,,,,,,,,  
189520,Bienes recibidos en pago,Bienes recibidos en pago,Asset,E,,No,,1895,,,,,,,,,,  
189525,Derechos sucesorales,Derechos sucesorales,Asset,E,,No,,1895,,,,,,,,,,  
189530,Estampillas,Estampillas,Asset,E,,No,,1895,,,,,,,,,,  
189595,Otros,Otros,Asset,E,,No,,1895,,,,,,,,,,  
189599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1895,,,,,,,,,,  
1899,Provisiones,Provisiones,Asset,E,,Yes,,18,,,,,,,,,,  
189905,Bienes de arte y cultura,Bienes de arte y cultura,Asset,E,,No,,1899,,,,,,,,,,  
189995,Diversos,Diversos,Asset,E,,No,,1899,,,,,,,,,,  
19,Valorizaciones,Valorizaciones,Asset,E,,Yes,,1,,,,,,,,,,  
1905,De inversiones,De inversiones,Asset,E,,Yes,,19,,,,,,,,,,  
190505,Acciones,Acciones,Asset,E,,No,,1905,,,,,,,,,,  
190510,Cuotas o partes de interés social,Cuotas o partes de interés social,Asset,E,,No,,1905,,,,,,,,,,  
190515,Derechos fiduciarios,Derechos fiduciarios,Asset,E,,No,,1905,,,,,,,,,,  
1910,De propiedades, planta y equipo,De propiedades, planta y equipo,Asset,E,,Yes,,19,,,,,,,,,,  
191004,Terrenos,Terrenos,Asset,E,,No,,1910,,,,,,,,,,  
191006,Materiales proyectos petroleros,Materiales proyectos petroleros,Asset,E,,No,,1910,,,,,,,,,,  
191008,Construcciones y edificaciones,Construcciones y edificaciones,Asset,E,,No,,1910,,,,,,,,,,  
191012,Maquinaria y equipo,Maquinaria y equipo,Asset,E,,No,,1910,,,,,,,,,,  
191016,Equipo de oficina,Equipo de oficina,Asset,E,,No,,1910,,,,,,,,,,  
191020,Equipo de computación y comunicación,Equipo de computación y comunicación,Asset,E,,No,,1910,,,,,,,,,,  
191024,Equipo médico-científico,Equipo médico-científico,Asset,E,,No,,1910,,,,,,,,,,  
191028,Equipo de hoteles y restaurantes,Equipo de hoteles y restaurantes,Asset,E,,No,,1910,,,,,,,,,,  
191032,Flota y equipo de transporte,Flota y equipo de transporte,Asset,E,,No,,1910,,,,,,,,,,  
191036,Flota y equipo fluvial y/o marítimo,Flota y equipo fluvial y/o marítimo,Asset,E,,No,,1910,,,,,,,,,,  
191040,Flota y equipo aéreo,Flota y equipo aéreo,Asset,E,,No,,1910,,,,,,,,,,  
191044,Flota y equipo férreo,Flota y equipo férreo,Asset,E,,No,,1910,,,,,,,,,,  
191048,Acueductos, plantas y redes,Acueductos, plantas y redes,Asset,E,,No,,1910,,,,,,,,,,  
191052,Armamento de vigilancia,Armamento de vigilancia,Asset,E,,No,,1910,,,,,,,,,,  
191056,Envases y empaques,Envases y empaques,Asset,E,,No,,1910,,,,,,,,,,  
191060,Plantaciones agrícolas y forestales,Plantaciones agrícolas y forestales,Asset,E,,No,,1910,,,,,,,,,,  
191064,Vías de comunicación,Vías de comunicación,Asset,E,,No,,1910,,,,,,,,,,  
191068,Minas y canteras,Minas y canteras,Asset,E,,No,,1910,,,,,,,,,,  
191072,Pozos artesianos,Pozos artesianos,Asset,E,,No,,1910,,,,,,,,,,  
191076,Yacimientos,Yacimientos,Asset,E,,No,,1910,,,,,,,,,,  
191080,Semovientes,Semovientes,Asset,E,,No,,1910,,,,,,,,,,  
1995,De otros activos,De otros activos,Asset,E,,Yes,,19,,,,,,,,,,  
199505,Bienes de arte y cultura,Bienes de arte y cultura,Asset,E,,No,,1995,,,,,,,,,,  
199510,Bienes entregados en comodato,Bienes entregados en comodato,Asset,E,,No,,1995,,,,,,,,,,  
199515,Bienes recibidos en pago,Bienes recibidos en pago,Asset,E,,No,,1995,,,,,,,,,,  
199520,Inventario de semovientes,Inventario de semovientes,Asset,E,,No,,1995,,,,,,,,,,  
2,Pasivo,Pasivo,Liability,E,,Yes,,,,,,,,,,,,  
21,Obligaciones financieras,Obligaciones financieras,Liability,E,,Yes,,2,,,,,,,,,,  
2105,Bancos nacionales,Bancos nacionales,Liability,E,,Yes,,21,,,,,,,,,,  
210505,Sobregiros,Sobregiros,Liability,E,,No,,2105,,,,,,,,,,  
210510,Pagarés,Pagarés,Liability,E,,No,,2105,,,,,,,,,,  
210515,Cartas de crédito,Cartas de crédito,Liability,E,,No,,2105,,,,,,,,,,  
210520,Aceptaciones bancarias,Aceptaciones bancarias,Liability,E,,No,,2105,,,,,,,,,,  
2110,Bancos del exterior,Bancos del exterior,Liability,E,,Yes,,21,,,,,,,,,,  
211005,Sobregiros,Sobregiros,Liability,E,,No,,2110,,,,,,,,,,  
211010,Pagarés,Pagarés,Liability,E,,No,,2110,,,,,,,,,,  
211015,Cartas de crédito,Cartas de crédito,Liability,E,,No,,2110,,,,,,,,,,  
211020,Aceptaciones bancarias,Aceptaciones bancarias,Liability,E,,No,,2110,,,,,,,,,,  
2115,Corporaciones financieras,Corporaciones financieras,Liability,E,,Yes,,21,,,,,,,,,,  
211505,Pagarés,Pagarés,Liability,E,,No,,2115,,,,,,,,,,  
211510,Aceptaciones financieras,Aceptaciones financieras,Liability,E,,No,,2115,,,,,,,,,,  
211515,Cartas de crédito,Cartas de crédito,Liability,E,,No,,2115,,,,,,,,,,  
211520,Contratos de arrendamiento financiero (leasing),Contratos de arrendamiento financiero (leasing),Liability,E,,No,,2115,,,,,,,,,,  
2120,Compañías de financiamiento comercial,Compañías de financiamiento comercial,Liability,E,,Yes,,21,,,,,,,,,,  
212005,Pagarés,Pagarés,Liability,E,,No,,2120,,,,,,,,,,  
212010,Aceptaciones financieras,Aceptaciones financieras,Liability,E,,No,,2120,,,,,,,,,,  
212020,Contratos de arrendamiento financiero (leasing),Contratos de arrendamiento financiero (leasing),Liability,E,,No,,2120,,,,,,,,,,  
2125,Corporaciones de ahorro y vivienda,Corporaciones de ahorro y vivienda,Liability,E,,Yes,,21,,,,,,,,,,  
212505,Sobregiros,Sobregiros,Liability,E,,No,,2125,,,,,,,,,,  
212510,Pagarés,Pagarés,Liability,E,,No,,2125,,,,,,,,,,  
212515,Hipotecarias,Hipotecarias,Liability,E,,No,,2125,,,,,,,,,,  
2130,Entidades financieras del exterior,Entidades financieras del exterior,Liability,E,,Yes,,21,,,,,,,,,,  
2135,Compromisos de recompra de inversiones negociadas,Compromisos de recompra de inversiones negociadas,Liability,E,,Yes,,21,,,,,,,,,,  
213505,Acciones,Acciones,Liability,E,,No,,2135,,,,,,,,,,  
213510,Cuotas o partes de interés social,Cuotas o partes de interés social,Liability,E,,No,,2135,,,,,,,,,,  
213515,Bonos,Bonos,Liability,E,,No,,2135,,,,,,,,,,  
213520,Cédulas,Cédulas,Liability,E,,No,,2135,,,,,,,,,,  
213525,Certificados,Certificados,Liability,E,,No,,2135,,,,,,,,,,  
213530,Papeles comerciales,Papeles comerciales,Liability,E,,No,,2135,,,,,,,,,,  
213535,Títulos,Títulos,Liability,E,,No,,2135,,,,,,,,,,  
213540,Aceptaciones bancarias o financieras,Aceptaciones bancarias o financieras,Liability,E,,No,,2135,,,,,,,,,,  
213595,Otros,Otros,Liability,E,,No,,2135,,,,,,,,,,  
2140,Compromisos de recompra de cartera negociada,Compromisos de recompra de cartera negociada,Liability,E,,Yes,,21,,,,,,,,,,  
2145,Obligaciones gubernamentales,Obligaciones gubernamentales,Liability,E,,Yes,,21,,,,,,,,,,  
214505,Gobierno Nacional,Gobierno Nacional,Liability,E,,No,,2145,,,,,,,,,,  
214510,Entidades oficiales,Entidades oficiales,Liability,E,,No,,2145,,,,,,,,,,  
2195,Otras obligaciones,Otras obligaciones,Liability,E,,Yes,,21,,,,,,,,,,  
219505,Particulares,Particulares,Liability,E,,No,,2195,,,,,,,,,,  
219510,Compañías vinculadas,Compañías vinculadas,Liability,E,,No,,2195,,,,,,,,,,  
219515,Casa matriz,Casa matriz,Liability,E,,No,,2195,,,,,,,,,,  
219520,Socios o accionistas,Socios o accionistas,Liability,E,,No,,2195,,,,,,,,,,  
219525,Fondos y cooperativas,Fondos y cooperativas,Liability,E,,No,,2195,,,,,,,,,,  
219530,Directores,Directores,Liability,E,,No,,2195,,,,,,,,,,  
219595,Otras,Otras,Liability,E,,No,,2195,,,,,,,,,,  
22,Proveedores,Proveedores,Liability,E,,Yes,,2,,,,,,,,,,  
2205,Nacionales,Nacionales,Liability,E,,Yes,,22,,,,,,,,,,  
2210,Del exterior,Del exterior,Liability,E,,Yes,,22,,,,,,,,,,  
2215,Cuentas corrientes comerciales,Cuentas corrientes comerciales,Liability,E,,Yes,,22,,,,,,,,,,  
2220,Casa matriz,Casa matriz,Liability,E,,Yes,,22,,,,,,,,,,  
2225,Compañías vinculadas,Compañías vinculadas,Liability,E,,Yes,,22,,,,,,,,,,  
23,Cuentas por pagar,Cuentas por pagar,Liability,E,,Yes,,2,,,,,,,,,,  
2305,Cuentas corrientes comerciales,Cuentas corrientes comerciales,Liability,E,,Yes,,23,,,,,,,,,,  
2310,A casa matriz,A casa matriz,Liability,E,,Yes,,23,,,,,,,,,,  
2315,A compañías vinculadas,A compañías vinculadas,Liability,E,,Yes,,23,,,,,,,,,,  
2320,A contratistas,A contratistas,Liability,E,,Yes,,23,,,,,,,,,,  
2330,Órdenes de compra por utilizar,Órdenes de compra por utilizar,Liability,E,,Yes,,23,,,,,,,,,,  
2335,Costos y gastos por pagar,Costos y gastos por pagar,Liability,E,,Yes,,23,,,,,,,,,,  
233505,Gastos financieros,Gastos financieros,Liability,E,,No,,2335,,,,,,,,,,  
233510,Gastos legales,Gastos legales,Liability,E,,No,,2335,,,,,,,,,,  
233515,Libros, suscripciones, periódicos y revistas,Libros, suscripciones, periódicos y revistas,Liability,E,,No,,2335,,,,,,,,,,  
233520,Comisiones,Comisiones,Liability,E,,No,,2335,,,,,,,,,,  
233525,Honorarios,Honorarios,Liability,E,,No,,2335,,,,,,,,,,  
233530,Servicios técnicos,Servicios técnicos,Liability,E,,No,,2335,,,,,,,,,,  
233535,Servicios de mantenimiento,Servicios de mantenimiento,Liability,E,,No,,2335,,,,,,,,,,  
233540,Arrendamientos,Arrendamientos,Liability,E,,No,,2335,,,,,,,,,,  
233545,Transportes, fletes y acarreos,Transportes, fletes y acarreos,Liability,E,,No,,2335,,,,,,,,,,  
233550,Servicios públicos,Servicios públicos,Liability,E,,No,,2335,,,,,,,,,,  
233555,Seguros,Seguros,Liability,E,,No,,2335,,,,,,,,,,  
233560,Gastos de viaje,Gastos de viaje,Liability,E,,No,,2335,,,,,,,,,,  
233565,Gastos de representación y relaciones públicas,Gastos de representación y relaciones públicas,Liability,E,,No,,2335,,,,,,,,,,  
233570,Servicios aduaneros,Servicios aduaneros,Liability,E,,No,,2335,,,,,,,,,,  
233595,Otros,Otros,Liability,E,,No,,2335,,,,,,,,,,  
2340,Instalamentos por pagar,Instalamentos por pagar,Liability,E,,Yes,,23,,,,,,,,,,  
2345,Acreedores oficiales,Acreedores oficiales,Liability,E,,Yes,,23,,,,,,,,,,  
2350,Regalías por pagar,Regalías por pagar,Liability,E,,Yes,,23,,,,,,,,,,  
2355,Deudas con accionistas o socios,Deudas con accionistas o socios,Liability,E,,Yes,,23,,,,,,,,,,  
235505,Accionistas,Accionistas,Liability,E,,No,,2355,,,,,,,,,,  
235510,Socios,Socios,Liability,E,,No,,2355,,,,,,,,,,  
2357,Deudas con directores,Deudas con directores,Liability,E,,Yes,,23,,,,,,,,,,  
2360,Dividendos o participaciones por pagar,Dividendos o participaciones por pagar,Liability,E,,Yes,,23,,,,,,,,,,  
236005,Dividendos,Dividendos,Liability,E,,No,,2360,,,,,,,,,,  
236010,Participaciones,Participaciones,Liability,E,,No,,2360,,,,,,,,,,  
2365,Retención en la fuente,Retención en la fuente,Liability,E,,Yes,,23,,,,,,,,,,  
236505,Salarios y pagos laborales,Salarios y pagos laborales,Liability,E,,No,,2365,,,,,,,,,,  
236510,Dividendos y/o participaciones,Dividendos y/o participaciones,Liability,E,,No,,2365,,,,,,,,,,  
236515,Honorarios,Honorarios,Liability,E,,No,,2365,,,,,,,,,,  
236520,Comisiones,Comisiones,Liability,E,,No,,2365,,,,,,,,,,  
236525,Servicios,Servicios,Liability,E,,No,,2365,,,,,,,,,,  
236530,Arrendamientos,Arrendamientos,Liability,E,,No,,2365,,,,,,,,,,  
236535,Rendimientos financieros,Rendimientos financieros,Liability,E,,No,,2365,,,,,,,,,,  
236540,Compras,Compras,Liability,E,,No,,2365,,,,,,,,,,  
236545,Loterías, rifas, apuestas y similares,Loterías, rifas, apuestas y similares,Liability,E,,No,,2365,,,,,,,,,,  
236550,Por pagos al exterior,Por pagos al exterior,Liability,E,,No,,2365,,,,,,,,,,  
236555,Por ingresos obtenidos en el exterior,Por ingresos obtenidos en el exterior,Liability,E,,No,,2365,,,,,,,,,,  
236560,Enajenación propiedades planta y equipo, personas naturales,Enajenación propiedades planta y equipo, personas naturales,Liability,E,,No,,2365,,,,,,,,,,  
236565,Por impuesto de timbre,Por impuesto de timbre,Liability,E,,No,,2365,,,,,,,,,,  
236570,Otras retenciones y patrimonio,Otras retenciones y patrimonio,Liability,E,,No,,2365,,,,,,,,,,  
236575,Autorretenciones,Autorretenciones,Liability,E,,No,,2365,,,,,,,,,,  
2367,Impuesto a las ventas retenido,Impuesto a las ventas retenido,Liability,E,,Yes,,23,,,,,,,,,,  
2368,Impuesto de industria y comercio retenido,Impuesto de industria y comercio retenido,Liability,E,,Yes,,23,,,,,,,,,,  
2370,Retenciones y aportes de nómina,Retenciones y aportes de nómina,Liability,E,,Yes,,23,,,,,,,,,,  
237005,Aportes a entidades promotoras de salud, EPS,Aportes a entidades promotoras de salud, EPS,Liability,E,,No,,2370,,,,,,,,,,  
237006,Aportes a administradoras de riesgos profesionales, ARP,Aportes a administradoras de riesgos profesionales, ARP,Liability,E,,No,,2370,,,,,,,,,,  
237010,Aportes al ICBF, SENA y cajas de compensación,Aportes al ICBF, SENA y cajas de compensación,Liability,E,,No,,2370,,,,,,,,,,  
237015,Aportes al FIC,Aportes al FIC,Liability,E,,No,,2370,,,,,,,,,,  
237025,Embargos judiciales,Embargos judiciales,Liability,E,,No,,2370,,,,,,,,,,  
237030,Libranzas,Libranzas,Liability,E,,No,,2370,,,,,,,,,,  
237035,Sindicatos,Sindicatos,Liability,E,,No,,2370,,,,,,,,,,  
237040,Cooperativas,Cooperativas,Liability,E,,No,,2370,,,,,,,,,,  
237045,Fondos,Fondos,Liability,E,,No,,2370,,,,,,,,,,  
237095,Otros,Otros,Liability,E,,No,,2370,,,,,,,,,,  
2375,Cuotas por devolver,Cuotas por devolver,Liability,E,,Yes,,23,,,,,,,,,,  
2380,Acreedores varios,Acreedores varios,Liability,E,,Yes,,23,,,,,,,,,,  
238005,Depositarios,Depositarios,Liability,E,,No,,2380,,,,,,,,,,  
238010,Comisionistas de bolsas,Comisionistas de bolsas,Liability,E,,No,,2380,,,,,,,,,,  
238015,Sociedad administradora-Fondos de inversión,Sociedad administradora-Fondos de inversión,Liability,E,,No,,2380,,,,,,,,,,  
238020,Reintegros por pagar,Reintegros por pagar,Liability,E,,No,,2380,,,,,,,,,,  
238025,Fondo de perseverancia,Fondo de perseverancia,Liability,E,,No,,2380,,,,,,,,,,  
238030,Fondos de cesantías y/o pensiones,Fondos de cesantías y/o pensiones,Liability,E,,No,,2380,,,,,,,,,,  
238035,Donaciones asignadas por pagar,Donaciones asignadas por pagar,Liability,E,,No,,2380,,,,,,,,,,  
238095,Otros,Otros,Liability,E,,No,,2380,,,,,,,,,,  
24,Impuestos, gravámenes y tasas,Impuestos, gravámenes y tasas,Liability,E,,Yes,,2,,,,,,,,,,  
2404,De renta y complementarios,De renta y complementarios,Liability,E,,Yes,,24,,,,,,,,,,  
240405,Vigencia fiscal corriente,Vigencia fiscal corriente,Liability,E,,No,,2404,,,,,,,,,,  
240410,Vigencias fiscales anteriores,Vigencias fiscales anteriores,Liability,E,,No,,2404,,,,,,,,,,  
2408,Impuesto sobre las ventas por pagar,Impuesto sobre las ventas por pagar,Liability,E,,Yes,,24,,,,,,,,,,  
2412,De industria y comercio,De industria y comercio,Liability,E,,Yes,,24,,,,,,,,,,  
241205,Vigencia fiscal corriente,Vigencia fiscal corriente,Liability,E,,No,,2412,,,,,,,,,,  
241210,Vigencias fiscales anteriores,Vigencias fiscales anteriores,Liability,E,,No,,2412,,,,,,,,,,  
2416,A la propiedad raíz,A la propiedad raíz,Liability,E,,Yes,,24,,,,,,,,,,  
2420,Derechos sobre instrumentos públicos,Derechos sobre instrumentos públicos,Liability,E,,Yes,,24,,,,,,,,,,  
2424,De valorización,De valorización,Liability,E,,Yes,,24,,,,,,,,,,  
242405,Vigencia fiscal corriente,Vigencia fiscal corriente,Liability,E,,No,,2424,,,,,,,,,,  
242410,Vigencias fiscales anteriores,Vigencias fiscales anteriores,Liability,E,,No,,2424,,,,,,,,,,  
2428,De turismo,De turismo,Liability,E,,Yes,,24,,,,,,,,,,  
2432,Tasa por utilización de puertos,Tasa por utilización de puertos,Liability,E,,Yes,,24,,,,,,,,,,  
2436,De vehículos,De vehículos,Liability,E,,Yes,,24,,,,,,,,,,  
243605,Vigencia fiscal corriente,Vigencia fiscal corriente,Liability,E,,No,,2436,,,,,,,,,,  
243610,Vigencias fiscales anteriores,Vigencias fiscales anteriores,Liability,E,,No,,2436,,,,,,,,,,  
2440,De espectáculos públicos,De espectáculos públicos,Liability,E,,Yes,,24,,,,,,,,,,  
2444,De hidrocarburos y minas,De hidrocarburos y minas,Liability,E,,Yes,,24,,,,,,,,,,  
244405,De hidrocarburos ,De hidrocarburos ,Liability,E,,No,,2444,,,,,,,,,,  
244410,De minas,De minas,Liability,E,,No,,2444,,,,,,,,,,  
2448,Regalías e impuestos a la pequeña y mediana minería,Regalías e impuestos a la pequeña y mediana minería,Liability,E,,Yes,,24,,,,,,,,,,  
2452,A las exportaciones cafeteras,A las exportaciones cafeteras,Liability,E,,Yes,,24,,,,,,,,,,  
2456,A las importaciones,A las importaciones,Liability,E,,Yes,,24,,,,,,,,,,  
