[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Nivel],[Tipo],[Cuenta de la subcuenta],[Desglose de la subcuenta],[C/D de la subcuenta],[Ultimo epigrafe],[Izquierda(3)],[Sin signo],[Orden],[Order parent]
121595,Otros,Otros,Asset,E,,No,,1215,,,,,,,,,,  
1220,Cédulas,Cédulas,Asset,E,,Yes,,12,,,,,,,,,,  
122005,Cédulas de capitalización,Cédulas de capitalización,Asset,E,,No,,1220,,,,,,,,,,  
122010,Cédulas hipotecarias,Cédulas hipotecarias,Asset,E,,No,,1220,,,,,,,,,,  
122015,Cédulas de inversión,Cédulas de inversión,Asset,E,,No,,1220,,,,,,,,,,  
122095,Otras,Otras,Asset,E,,No,,1220,,,,,,,,,,  
1225,Certificados,Certificados,Asset,E,,Yes,,12,,,,,,,,,,  
122505,Certificados de depósito a término (CDT),Certificados de depósito a término (CDT),Asset,E,,No,,1225,,,,,,,,,,  
122510,Certificados de depósito de ahorro,Certificados de depósito de ahorro,Asset,E,,No,,1225,,,,,,,,,,  
122515,Certificados de ahorro de valor constante (CAVC),Certificados de ahorro de valor constante (CAVC),Asset,E,,No,,1225,,,,,,,,,,  
122520,Certificados de cambio,Certificados de cambio,Asset,E,,No,,1225,,,,,,,,,,  
122525,Certificados cafeteros valorizables,Certificados cafeteros valorizables,Asset,E,,No,,1225,,,,,,,,,,  
122530,Certificados eléctricos valorizables (CEV),Certificados eléctricos valorizables (CEV),Asset,E,,No,,1225,,,,,,,,,,  
122535,Certificados de reembolso tributario (CERT),Certificados de reembolso tributario (CERT),Asset,E,,No,,1225,,,,,,,,,,  
122540,Certificados de desarrollo turístico,Certificados de desarrollo turístico,Asset,E,,No,,1225,,,,,,,,,,  
122545,Certificados de inversión forestal (CIF),Certificados de inversión forestal (CIF),Asset,E,,No,,1225,,,,,,,,,,  
122595,Otros,Otros,Asset,E,,No,,1225,,,,,,,,,,  
1230,Papeles comerciales,Papeles comerciales,Asset,E,,Yes,,12,,,,,,,,,,  
123005,Empresas comerciales,Empresas comerciales,Asset,E,,No,,1230,,,,,,,,,,  
123010,Empresas industriales,Empresas industriales,Asset,E,,No,,1230,,,,,,,,,,  
123015,Empresas de servicios,Empresas de servicios,Asset,E,,No,,1230,,,,,,,,,,  
1235,Títulos,Títulos,Asset,E,,Yes,,12,,,,,,,,,,  
123505,Títulos de desarrollo agropecuario,Títulos de desarrollo agropecuario,Asset,E,,No,,1235,,,,,,,,,,  
123510,Títulos canjeables por certificados de cambio,Títulos canjeables por certificados de cambio,Asset,E,,No,,1235,,,,,,,,,,  
123515,Títulos de tesorería (TES),Títulos de tesorería (TES),Asset,E,,No,,1235,,,,,,,,,,  
123520,Títulos de participación,Títulos de participación,Asset,E,,No,,1235,,,,,,,,,,  
123525,Títulos de crédito de fomento,Títulos de crédito de fomento,Asset,E,,No,,1235,,,,,,,,,,  
123530,Títulos financieros agroindustriales (TFA),Títulos financieros agroindustriales (TFA),Asset,E,,No,,1235,,,,,,,,,,  
123535,Títulos de ahorro cafetero (TAC),Títulos de ahorro cafetero (TAC),Asset,E,,No,,1235,,,,,,,,,,  
123540,Títulos de ahorro nacional (TAN),Títulos de ahorro nacional (TAN),Asset,E,,No,,1235,,,,,,,,,,  
123545,Títulos energéticos de rentabilidad creciente (TER),Títulos energéticos de rentabilidad creciente (TER),Asset,E,,No,,1235,,,,,,,,,,  
