[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],Nivel,Tipo,Cuenta de la subcuenta,Desglose de la subcuenta,C/D de la subcuenta,Ultimo epigrafe,Izquierda(3),Sin signo,Orden,Order parent
165,"Proveedores de inmovilizado a largo plazo, empresas asociadas","Proveedores de inmovilizado a largo plazo, empresas asociadas",Liability,Credit,,Yes,,P.D.III.2,5,C,,,B,P.D.III.2,165,165,383,383
P.D.IV,"IV. Otros acreedores","IV. Otros acreedores",Liability,Credit,,Yes,,P.D,3,E,,,B,P.D.IV,P.D,P.D.IV,384,384
P.D.IV.1,"1. Deudas representadas por efectos a pagar","1. Deudas representadas por efectos a pagar",Liability,Credit,,Yes,,P.D.IV,4,E,,,B,P.D.IV.1,P.D,P.D.IV.1,385,385
174,"Efectos a pagar a largo plazo","Efectos a pagar a largo plazo",Liability,Credit,,Yes,,P.D.IV.1,5,C,,,B,P.D.IV.1,174,174,386,386
P.D.IV.2,"2. Otras deudas","2. Otras deudas",Liability,Credit,,Yes,,P.D.IV,4,E,,,B,P.D.IV.2,P.D,P.D.IV.2,387,387
171,"Deudas a largo plazo","Deudas a largo plazo",Liability,Credit,,Yes,,P.D.IV.2,5,C,,,B,P.D.IV.2,171,171,388,388
172,"Deudas a largo plazo transformables en subvenciones","Deudas a largo plazo transformables en subvenciones",Liability,Credit,,Yes,,P.D.IV.2,5,C,,,B,P.D.IV.2,172,172,389,389
173,"Proveedores de inmovilizado a largo plazo","Proveedores de inmovilizado a largo plazo",Liability,Credit,,Yes,,P.D.IV.2,5,C,,,B,P.D.IV.2,173,173,390,390
P.D.IV.3,"3. Fianzas y depósitos recibidos a largo plazo","3. Fianzas y depósitos recibidos a largo plazo",Liability,Credit,,Yes,,P.D.IV,4,E,,,B,P.D.IV.3,P.D,P.D.IV.3,391,391
180,"Fianzas recibidas a largo plazo","Fianzas recibidas a largo plazo",Liability,Credit,,Yes,,P.D.IV.3,5,C,,,B,P.D.IV.3,180,180,392,392
185,"Depósitos recibidos a largo plazo","Depósitos recibidos a largo plazo",Liability,Credit,,Yes,,P.D.IV.3,5,C,,,B,P.D.IV.3,185,185,393,393
P.D.IV.4,"4. Administraciones públicas a largo plazo","4. Administraciones públicas a largo plazo",Liability,Credit,,Yes,,P.D.IV,4,E,,,B,P.D.IV.4,P.D,P.D.IV.4,394,394
P.D.V,"V. Desembolsos pendientes sobre acciones no exigidos","V. Desembolsos pendientes sobre acciones no exigidos",Liability,Credit,,Yes,,P.D,3,E,,,B,P.D.V,P.D,P.D.V,395,395
P.D.V.1,"1. De empresas del grupo","1. De empresas del grupo",Liability,Credit,,Yes,,P.D.V,4,E,,,B,P.D.V.1,P.D,P.D.V.1,396,396
248,"Desembolsos pendientes sobre acciones de empresas del grupo","Desembolsos pendientes sobre acciones de empresas del grupo",Liability,Credit,,Yes,,P.D.V.1,5,C,,,B,P.D.V.1,248,248,397,397
P.D.V.2,"2. De empresas asociadas","2. De empresas asociadas",Liability,Credit,,Yes,,P.D.V,4,E,,,B,P.D.V.2,P.D,P.D.V.2,398,398
249,"Desembolsos pendientes sobre acciones de empresas asociadas.","Desembolsos pendientes sobre acciones de empresas asociadas.",Liability,Credit,,Yes,,P.D.V.2,5,C,,,B,P.D.V.2,249,249,399,399
P.D.V.3,"3. De otras empresas","3. De otras empresas",Liability,Credit,,Yes,,P.D.V,4,E,,,B,P.D.V.3,P.D,P.D.V.3,400,400
259,"Desembolsos pendientes sobre acciones","Desembolsos pendientes sobre acciones",Liability,Credit,,Yes,,P.D.V.3,5,C,,,B,P.D.V.3,259,259,401,401
P.D.VI,"VI. Acreedores por operaciones de tráfico a largo plazo","VI. Acreedores por operaciones de tráfico a largo plazo",Liability,Credit,,Yes,,P.D,3,E,,,B,P.D.VI,P.D,P.D.VI,402,402
P.E,"E) Acreedores a corto plazo","E) Acreedores a corto plazo",Liability,Credit,,Yes,,P,2,E,,,B,P.E,P.E,P.E,403,403
P.E.I,"I. Emisiones de obligaciones y otros valores negociables","I. Emisiones de obligaciones y otros valores negociables",Liability,Credit,,Yes,,P.E,3,E,,,B,P.E.I,P.E,P.E.I,404,404
P.E.I.1,"1. Obligaciones no convertibles","1. Obligaciones no convertibles",Liability,Credit,,Yes,,P.E.I,4,E,,,B,P.E.I.1,P.E,P.E.I.1,405,405
500,"Obligaciones y bonos a corto plazo","Obligaciones y bonos a corto plazo",Liability,Credit,,Yes,,P.E.I.1,5,C,,,B,P.E.I.1,500,500,406,406
P.E.I.2,"2. Obligaciones convertibles","2. Obligaciones convertibles",Liability,Credit,,Yes,,P.E.I,4,E,,,B,P.E.I.2,P.E,P.E.I.2,407,407
501,"Obligaciones y bonos convertibles a corto plazo","Obligaciones y bonos convertibles a corto plazo",Liability,Credit,,Yes,,P.E.I.2,5,C,,,B,P.E.I.2,501,501,408,408
P.E.I.3,"3. Otras deudas representadas en valores negociables","3. Otras deudas representadas en valores negociables",Liability,Credit,,Yes,,P.E.I,4,E,,,B,P.E.I.3,P.E,P.E.I.3,409,409
505,"Deudas representadas en otros valores negociables a corto plazo","Deudas representadas en otros valores negociables a corto plazo",Liability,Credit,,Yes,,P.E.I.3,5,C,,,B,P.E.I.3,505,505,410,410
P.E.I.4,"4. Intereses de obligaciones y otros valores","4. Intereses de obligaciones y otros valores",Liability,Credit,,Yes,,P.E.I,4,E,,,B,P.E.I.4,P.E,P.E.I.4,411,411
506,"Intereses de empréstitos y otras emisiones análogas","Intereses de empréstitos y otras emisiones análogas",Liability,Credit,,Yes,,P.E.I.4,5,C,,,B,P.E.I.4,506,506,412,412
P.E.II,"II. Deudas con entidades de crédito","II. Deudas con entidades de crédito",Liability,Credit,,Yes,,P.E,3,E,,,B,P.E.II,P.E,P.E.II,413,413
P.E.II.1,"1. Préstamos y otras deudas","1. Préstamos y otras deudas",Liability,Credit,,Yes,,P.E.II,4,E,,,B,P.E.II.1,P.E,P.E.II.1,414,414
520,"Deudas a corto plazo con entidades de crédito","Deudas a corto plazo con entidades de crédito",Liability,Credit,,Yes,,P.E.II.1,5,C,,,B,P.E.II.1,520,520,415,415
5200,"Préstamos a corto plazo de entidades de crédito","Préstamos a corto plazo de entidades de crédito",Liability,Credit,,Yes,,520,6,B,,,B,P.E.II.1,520,5200,416,416
5201,"Deudas a corto plazo por crédito dispuesto","Deudas a corto plazo por crédito dispuesto",Liability,Credit,,Yes,,520,6,B,,,B,P.E.II.1,520,5201,417,417
5208,"Deudas por efectos descontados","Deudas por efectos descontados",Liability,Credit,,Yes,,520,6,B,,,B,P.E.II.1,520,5208,418,418
P.E.II.2,"2. Deudas por intereses","2. Deudas por intereses",Liability,Credit,,Yes,,P.E.II,4,E,,,B,P.E.II.2,P.E,P.E.II.2,419,419
526,"Intereses a corto plazo de deudas con entidades de crédito","Intereses a corto plazo de deudas con entidades de crédito",Liability,Credit,,Yes,,P.E.II.2,5,C,,,B,P.E.II.2,526,526,420,420
P.E.II.3,"3. Acreedores por arrendamiento financiero a corto plazo","3. Acreedores por arrendamiento financiero a corto plazo",Liability,Credit,,Yes,,P.E.II,4,E,,,B,P.E.II.3,P.E,P.E.II.3,421,421
P.E.III,"III. Deudas con empresas del grupo y asociadas a corto plazo","III. Deudas con empresas del grupo y asociadas a corto plazo",Liability,Credit,,Yes,,P.E,3,E,,,B,P.E.III,P.E,P.E.III,422,422
P.E.III.1,"1. Deudas con empresas del grupo","1. Deudas con empresas del grupo",Liability,Credit,,Yes,,P.E.III,4,E,,,B,P.E.III.1,P.E,P.E.III.1,423,423
402,"Proveedores, empresas del grupo","Proveedores, empresas del grupo",Liability,Credit,,Yes,,P.E.III.1,5,C,,,B,P.E.III.1,402,402,424,424
4020,"Proveedores, empresas del grupo (euros)","Proveedores, empresas del grupo (euros)",Liability,Credit,,Yes,,402,6,B,,,B,P.E.III.1,402,4020,425,425
4021,"Efectos comerciales a pagar, empresas del grupo","Efectos comerciales a pagar, empresas del grupo",Liability,Credit,,Yes,,402,6,B,,,B,P.E.III.1,402,4021,426,426
4024,"Proveedores, empresas del grupo (moneda extranjera)","Proveedores, empresas del grupo (moneda extranjera)",Liability,Credit,,Yes,,402,6,B,,,B,P.E.III.1,402,4024,427,427
4026,"Envases y embalajes a devolver a proveedores, empresas del grupo","Envases y embalajes a devolver a proveedores, empresas del grupo",Liability,Credit,,Yes,,402,6,B,,,B,P.E.III.1,402,4026,428,428
4029,"Proveedores, empresas del grupo, facturas pendientes de recibir o de formalizar","Proveedores, empresas del grupo, facturas pendientes de recibir o de formalizar",Liability,Credit,,Yes,,402,6,B,,,B,P.E.III.1,402,4029,429,429
510,"Deudas a corto plazo con empresas del grupo","Deudas a corto plazo con empresas del grupo",Liability,Credit,,Yes,,P.E.III.1,5,C,,,B,P.E.III.1,510,510,430,430
5100,"Préstamos a corto plazo de empresas del grupo","Préstamos a corto plazo de empresas del grupo",Liability,Credit,,Yes,,510,6,B,,,B,P.E.III.1,510,5100,431,431
5108,"Deudas a corto plazo con empresas del grupo por efecto impositivo","Deudas a corto plazo con empresas del grupo por efecto impositivo",Liability,Credit,,Yes,,510,6,B,,,B,P.E.III.1,510,5108,432,432
5109,"Otras deudas a corto plazo con empresas del grupo","Otras deudas a corto plazo con empresas del grupo",Liability,Credit,,Yes,,510,6,B,,,B,P.E.III.1,510,5109,433,433
512,"Deudas a corto plazo con entidades de crédito del grupo","Deudas a corto plazo con entidades de crédito del grupo",Liability,Credit,,Yes,,P.E.III.1,5,C,,,B,P.E.III.1,512,512,434,434
5120,"Préstamos a corto plazo de entidades de crédito del grupo","Préstamos a corto plazo de entidades de crédito del grupo",Liability,Credit,,Yes,,512,6,B,,,B,P.E.III.1,512,5120,435,435
5128,"Deudas por efectos descontados en entidades de crédito del grupo","Deudas por efectos descontados en entidades de crédito del grupo",Liability,Credit,,Yes,,512,6,B,,,B,P.E.III.1,512,5128,436,436
5129,"Otras deudas a corto plazo con entidades de crédito del grupo","Otras deudas a corto plazo con entidades de crédito del grupo",Liability,Credit,,Yes,,512,6,B,,,B,P.E.III.1,512,5129,437,437
514,"Proveedores de inmovilizado a corto plazo, empresas del grupo","Proveedores de inmovilizado a corto plazo, empresas del grupo",Liability,Credit,,Yes,,P.E.III.1,5,C,,,B,P.E.III.1,514,514,438,438
516,"Intereses a corto plazo de deudas con empresas del grupo","Intereses a corto plazo de deudas con empresas del grupo",Liability,Credit,,Yes,,P.E.III.1,5,C,,,B,P.E.III.1,516,516,439,439
-551,"Cuenta corriente con empresas del grupo","Cuenta corriente con empresas del grupo",Liability,Credit,,Yes,,P.E.III.1,5,C,,,B,P.E.III.1,551,551,440,440
P.E.III.2,"2. Deudas con empresas asociadas","2. Deudas con empresas asociadas",Liability,Credit,,Yes,,P.E.III,4,E,,,B,P.E.III.2,P.E,P.E.III.2,441,441
403,"Proveedores, empresas asociadas","Proveedores, empresas asociadas",Liability,Credit,,Yes,,P.E.III.2,5,C,,,B,P.E.III.2,403,403,442,442
511,"Deudas a corto plazo con empresas asociadas","Deudas a corto plazo con empresas asociadas",Liability,Credit,,Yes,,P.E.III.2,5,C,,,B,P.E.III.2,511,511,443,443
513,"Deudas a corto plazo con entidades de crédito asociadas","Deudas a corto plazo con entidades de crédito asociadas",Liability,Credit,,Yes,,P.E.III.2,5,C,,,B,P.E.III.2,513,513,444,444
515,"Proveedores de inmovilizado a corto plazo, empresas asociadas","Proveedores de inmovilizado a corto plazo, empresas asociadas",Liability,Credit,,Yes,,P.E.III.2,5,C,,,B,P.E.III.2,515,515,445,445
517,"Intereses a corto plazo de deudas con empresas asociadas","Intereses a corto plazo de deudas con empresas asociadas",Liability,Credit,,Yes,,P.E.III.2,5,C,,,B,P.E.III.2,517,517,446,446
-552,"Cuenta corriente con empresas asociadas","Cuenta corriente con empresas asociadas",Liability,Credit,,Yes,,P.E.III.2,5,C,,,B,P.E.III.2,552,552,447,447
P.E.IV,"IV. Acreedores comerciales","IV. Acreedores comerciales",Liability,Credit,,Yes,,P.E,3,E,,,B,P.E.IV,P.E,P.E.IV,448,448
P.E.IV.1,"1. Anticipos recibidos por pedidos","1. Anticipos recibidos por pedidos",Liability,Credit,,Yes,,P.E.IV,4,E,,,B,P.E.IV.1,P.E,P.E.IV.1,449,449
437,"Anticipos de clientes","Anticipos de clientes",Liability,Credit,,Yes,,P.E.IV.1,5,C,,,B,P.E.IV.1,437,437,450,450
P.E.IV.2,"2. Deudas por compras o prestaciones de servicios","2. Deudas por compras o prestaciones de servicios",Liability,Credit,,Yes,,P.E.IV,4,E,,,B,P.E.IV.2,P.E,P.E.IV.2,451,451
400,"Proveedores","Proveedores",Liability,Credit,,Yes,,P.E.IV.2,5,C,,,B,P.E.IV.2,400,400,452,452
4000,"Proveedores (euros)","Proveedores (euros)",Liability,Credit,,Yes,,400,6,B,,,B,P.E.IV.2,400,4000,453,453
4004,"Proveedores (moneda extranjera)","Proveedores (moneda extranjera)",Liability,Credit,,Yes,,400,6,B,,,B,P.E.IV.2,400,4004,454,454
4009,"Proveedores, facturas pendientes de recibir o de formalizar","Proveedores, facturas pendientes de recibir o de formalizar",Liability,Credit,,Yes,,400,6,B,,,B,P.E.IV.2,400,4009,455,455
406,"Envases y embalajes a devolver a proveedores","Envases y embalajes a devolver a proveedores",Liability,Credit,,Yes,,P.E.IV.2,5,C,,,B,P.E.IV.2,406,406,456,456
410,"Acreedores por prestaciones de servicios","Acreedores por prestaciones de servicios",Liability,Credit,,Yes,,P.E.IV.2,5,C,,,B,P.E.IV.2,410,410,457,457
4100,"Acreedores por prestaciones de servicios (euros)","Acreedores por prestaciones de servicios (euros)",Liability,Credit,,Yes,,410,6,B,,,B,P.E.IV.2,410,4100,458,458
4104,"Acreedores por prestaciones de servicios (moneda extranjera)","Acreedores por prestaciones de servicios (moneda extranjera)",Liability,Credit,,Yes,,410,6,B,,,B,P.E.IV.2,410,4104,459,459
4109,"Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar","Acreedores por prestaciones de servicios, facturas pendientes de recibir o de formalizar",Liability,Credit,,Yes,,410,6,B,,,B,P.E.IV.2,410,4109,460,460
419,"Acreedores por operaciones en común","Acreedores por operaciones en común",Liability,Credit,,Yes,,P.E.IV.2,5,C,,,B,P.E.IV.2,419,419,461,461
P.E.IV.3,"3. Deudas representadas por efectos a pagar","3. Deudas representadas por efectos a pagar",Liability,Credit,,Yes,,P.E.IV,4,E,,,B,P.E.IV.3,P.E,P.E.IV.3,462,462
401,"Proveedores, efectos comerciales a pagar","Proveedores, efectos comerciales a pagar",Liability,Credit,,Yes,,P.E.IV.3,5,C,,,B,P.E.IV.3,401,401,463,463
411,"Acreedores, efectos comerciales a pagar","Acreedores, efectos comerciales a pagar",Liability,Credit,,Yes,,P.E.IV.3,5,C,,,B,P.E.IV.3,411,411,464,464
P.E.V,"V. Otras deudas no comerciales","V. Otras deudas no comerciales",Liability,Credit,,Yes,,P.E,3,E,,,B,P.E.V,P.E,P.E.V,465,465
P.E.V.1,"1. Administraciones públicas","1. Administraciones públicas",Liability,Credit,,Yes,,P.E.V,4,E,,,B,P.E.V.1,P.E,P.E.V.1,466,466
475,"Hacienda Pública, acreedor por conceptos fiscales","Hacienda Pública, acreedor por conceptos fiscales",Liability,Credit,,Yes,,P.E.V.1,5,C,,,B,P.E.V.1,475,475,467,467
4750,"Hacienda Pública, acreedor por IVA","Hacienda Pública, acreedor por IVA",Liability,Credit,,Yes,,475,6,B,,,B,P.E.V.1,475,4750,468,468
4751,"Hacienda Pública, acreedor por retenciones practicadas","Hacienda Pública, acreedor por retenciones practicadas",Liability,Credit,,Yes,,475,6,B,,,B,P.E.V.1,475,4751,469,469
4752,"Hacienda Pública, acreedor por impuesto sobre sociedades","Hacienda Pública, acreedor por impuesto sobre sociedades",Liability,Credit,,Yes,,475,6,B,,,B,P.E.V.1,475,4752,470,470
4758,"Hacienda Pública, acreedor por subvenciones a reintegrar","Hacienda Pública, acreedor por subvenciones a reintegrar",Liability,Credit,,Yes,,475,6,B,,,B,P.E.V.1,475,4758,471,471
476,"Organismos de la Seguridad Social, acreedores","Organismos de la Seguridad Social, acreedores",Liability,Credit,,Yes,,P.E.V.1,5,C,,,B,P.E.V.1,476,476,472,472
477,"Hacienda Pública, IVA repercutido","Hacienda Pública, IVA repercutido",Liability,Credit,,Yes,,P.E.V.1,5,C,,,B,P.E.V.1,477,477,473,473
479,"Impuesto sobre beneficios diferido","Impuesto sobre beneficios diferido",Liability,Credit,,Yes,,P.E.V.1,5,C,,,B,P.E.V.1,479,479,474,474
4791,"Impuesto sobre beneficios diferido a largo plazo","Impuesto sobre beneficios diferido a largo plazo",Liability,Credit,,Yes,,479,6,B,,,B,P.E.V.1,479,4791,475,475
4798,"Impuesto sobre beneficios diferido por operaciones intra-grupo","Impuesto sobre beneficios diferido por operaciones intra-grupo",Liability,Credit,,Yes,,479,6,B,,,B,P.E.V.1,479,4798,476,476
P.E.V.2,"2. Deudas representadas por efectos a pagar","2. Deudas representadas por efectos a pagar",Liability,Credit,,Yes,,P.E.V,4,E,,,B,P.E.V.2,P.E,P.E.V.2,477,477
524,"Efectos a pagar a corto plazo","Efectos a pagar a corto plazo",Liability,Credit,,Yes,,P.E.V.2,5,C,,,B,P.E.V.2,524,524,478,478
P.E.V.3,"3. Otras deudas","3. Otras deudas",Liability,Credit,,Yes,,P.E.V,4,E,,,B,P.E.V.3,P.E,P.E.V.3,479,479
509,"Valores negociables amortizados","Valores negociables amortizados",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,509,509,480,480
5090,"Obligaciones y bonos amortizados","Obligaciones y bonos amortizados",Liability,Credit,,Yes,,509,6,B,,,B,P.E.V.3,509,5090,481,481
5091,"Obligaciones y bonos convertibles amortizados","Obligaciones y bonos convertibles amortizados",Liability,Credit,,Yes,,509,6,B,,,B,P.E.V.3,509,5091,482,482
5095,"Otros valores negociables amortizados","Otros valores negociables amortizados",Liability,Credit,,Yes,,509,6,B,,,B,P.E.V.3,509,5095,483,483
521,"Deudas a corto plazo","Deudas a corto plazo",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,521,521,484,484
523,"Proveedores de inmovilizado a corto plazo","Proveedores de inmovilizado a corto plazo",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,523,523,485,485
525,"Dividendo activo a pagar","Dividendo activo a pagar",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,525,525,486,486
527,"Intereses a corto plazo de deudas","Intereses a corto plazo de deudas",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,527,527,487,487
-553,"Cuenta corriente con socios y administradores","Cuenta corriente con socios y administradores",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,553,553,488,488
-555,"Partidas pendientes de aplicación","Partidas pendientes de aplicación",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,555,555,489,489
556,"Desembolsos exigidos sobre acciones","Desembolsos exigidos sobre acciones",Liability,Credit,,Yes,,P.E.V.3,5,C,,,B,P.E.V.3,556,556,490,490
5560,"Desembolsos exigidos sobre acciones de empresas del grupo","Desembolsos exigidos sobre acciones de empresas del grupo",Liability,Credit,,Yes,,556,6,B,,,B,P.E.V.3,556,5560,491,491
5561,"Desembolsos exigidos sobre acciones de empresas asociadas","Desembolsos exigidos sobre acciones de empresas asociadas",Liability,Credit,,Yes,,556,6,B,,,B,P.E.V.3,556,5561,492,492
5562,"Desembolsos exigidos sobre acciones de otras empresas","Desembolsos exigidos sobre acciones de otras empresas",Liability,Credit,,Yes,,556,6,B,,,B,P.E.V.3,556,5562,493,493
P.E.V.4,"4. Remuneraciones pendientes de pago","4. Remuneraciones pendientes de pago",Liability,Credit,,Yes,,P.E.V,4,E,,,B,P.E.V.4,P.E,P.E.V.4,494,494
465,"Remuneraciones pendientes de pago","Remuneraciones pendientes de pago",Liability,Credit,,Yes,,P.E.V.4,5,C,,,B,P.E.V.4,465,465,495,495
P.E.V.5,"5. Fianzas y depositos recibidos a corto plazo","5. Fianzas y depositos recibidos a corto plazo",Liability,Credit,,Yes,,P.E.V,4,E,,,B,P.E.V.5,P.E,P.E.V.5,496,496
560,"Fianzas recibidas a corto plazo","Fianzas recibidas a corto plazo",Liability,Credit,,Yes,,P.E.V.5,5,C,,,B,P.E.V.5,560,560,497,497
561,"Depósitos recibidos a corto plazo","Depósitos recibidos a corto plazo",Liability,Credit,,Yes,,P.E.V.5,5,C,,,B,P.E.V.5,561,561,498,498
P.E.VI,"VI. Provisiones para operaciones de tráfico","VI. Provisiones para operaciones de tráfico",Liability,Credit,,Yes,,P.E,3,E,,,B,P.E.VI,P.E,P.E.VI,499,499
499,"Provisión para otras operaciones de tráfico","Provisión para otras operaciones de tráfico",Liability,Credit,,Yes,,P.E.VI,4,C,,,B,P.E.VI,499,499,500,500
P.E.VII,"VII. Ajustes por periodificación","VII. Ajustes por periodificación",Liability,Credit,,Yes,,P.E,3,E,,,B,P.E.VII,P.E,P.E.VII,501,501
485,"Ingresos anticipados","Ingresos anticipados",Liability,Credit,,Yes,,P.E.VII,4,C,,,B,P.E.VII,485,485,502,502
585,"Intereses cobrados por anticipado","Intereses cobrados por anticipado",Liability,Credit,,Yes,,P.E.VII,4,C,,,B,P.E.VII,585,585,503,503
P.F,"F) Provisiones para riesgos y gastos a corto plazo","F) Provisiones para riesgos y gastos a corto plazo",Liability,Credit,,Yes,,P,2,E,,,B,P.F,P.F,P.F,504,504
P.Total,"Total  pasivo","Total  pasivo",Liability,Credit,,Yes,,P,2,E,,,B,P.Total,P.T,P.Total,505,505
D,"Debe","Debe",Expense,B,,Yes,,,1,E,,,B,D,B,D,506,506
D.A,"A) gastos ( A1 a A16 )","A) gastos ( A1 a A16 )",Expense,B,,Yes,,B,2,E,,,B,D.A,D.A,D.A,507,507
D.A.A1,"A1. Reducción de existencias de productos terminados y en curso de fabricación","A1. Reducción de existencias de productos terminados y en curso de fabricación",Expense,B,,Yes,,D.A,3,E,,,B,D.A.A1,D.A,D.A.A1,508,508
-710,"Variación de existencias de productos en curso","Variación de existencias de productos en curso",Expense,B,,Yes,,D.A.A1,4,C,,,B,D.A.A1,710,710,509,509
D.A.A2,"A2. Aprovisionamientos","A2. Aprovisionamientos",Expense,B,,Yes,,D.A,3,E,,,B,D.A.A2,D.A,D.A.A2,510,510
D.A.A2.a,"a) Consumo de mercaderías","a) Consumo de mercaderías",Expense,B,,Yes,,D.A.A2,4,E,,,B,D.A.A2.a,D.A,D.A.A2.a,511,511
600,"Compras de mercaderías","Compras de mercaderías",Expense,B,,Yes,,D.A.A2.a,5,C,,,B,D.A.A2.a,600,600,512,512
610,"Variación de existencias de mercaderías","Variación de existencias de mercaderías",Expense,B,,Yes,,D.A.A2.a,5,C,,,B,D.A.A2.a,610,610,513,513
6080,"Devoluciones de compras de mercaderías","Devoluciones de compras de mercaderías",Expense,B,,Yes,,D.A.A2.a,5,B,,,B,D.A.A2.a,608,6080,514,514
6090,"Rappels por compras de mercaderías","Rappels por compras de mercaderías",Expense,B,,Yes,,D.A.A2.a,5,B,,,B,D.A.A2.a,609,6090,515,515
D.A.A2.b,"b) Consumo de materias primas y otras materias consumibles","b) Consumo de materias primas y otras materias consumibles",Expense,B,,Yes,,D.A.A2,4,E,,,B,D.A.A2.b,D.A,D.A.A2.b,516,516
601,"Compras de materias primas","Compras de materias primas",Expense,B,,Yes,,D.A.A2.b,5,C,,,B,D.A.A2.b,601,601,517,517
602,"Compras de otros aprovisionamientos","Compras de otros aprovisionamientos",Expense,B,,Yes,,D.A.A2.b,5,C,,,B,D.A.A2.b,602,602,518,518
6081,"Devoluciones de compras de materias primas","Devoluciones de compras de materias primas",Expense,B,,Yes,,D.A.A2.b,5,B,,,B,D.A.A2.b,608,6081,519,519
6082,"Devoluciones de compras de otros aprovisionamientos","Devoluciones de compras de otros aprovisionamientos",Expense,B,,Yes,,D.A.A2.b,5,B,,,B,D.A.A2.b,608,6082,520,520
6091,"Rappels por compras de materias primas","Rappels por compras de materias primas",Expense,B,,Yes,,D.A.A2.b,5,B,,,B,D.A.A2.b,609,6091,521,521
6092,"Rappels por compras de otros aprovisionamientos","Rappels por compras de otros aprovisionamientos",Expense,B,,Yes,,D.A.A2.b,5,B,,,B,D.A.A2.b,609,6092,522,522
611,"Variación de existencias de materias primas","Variación de existencias de materias primas",Expense,B,,Yes,,D.A.A2.b,5,C,,,B,D.A.A2.b,611,611,523,523
612,"Variación de existencias de otros aprovisionamientos","Variación de existencias de otros aprovisionamientos",Expense,B,,Yes,,D.A.A2.b,5,C,,,B,D.A.A2.b,612,612,524,524
D.A.A2.c,"c) Otros gastos externos","c) Otros gastos externos",Expense,B,,Yes,,D.A.A2,4,E,,,B,D.A.A2.c,D.A,D.A.A2.c,525,525
607,"Trabajos realizados por otras empresas","Trabajos realizados por otras empresas",Expense,B,,Yes,,D.A.A2.c,5,C,,,B,D.A.A2.c,607,607,526,526
D.A.A3,"A3. Gastos de personal","A3. Gastos de personal",Expense,B,,Yes,,D.A,3,E,,,B,D.A.A3,D.A,D.A.A3,527,527
D.A.A3.a,"a) Sueldos, salarios y asimilados","a) Sueldos, salarios y asimilados",Expense,B,,Yes,,D.A.A3,4,E,,,B,D.A.A3.a,D.A,D.A.A3.a,528,528
640,"Sueldos y salarios","Sueldos y salarios",Expense,B,,Yes,,D.A.A3.a,5,C,,,B,D.A.A3.a,640,640,529,529
641,"Indemnizaciones","Indemnizaciones",Expense,B,,Yes,,D.A.A3.a,5,C,,,B,D.A.A3.a,641,641,530,530
D.A.A3.b,"b) Cargas sociales","b) Cargas sociales",Expense,B,,Yes,,D.A.A3,4,E,,,B,D.A.A3.b,D.A,D.A.A3.b,531,531
642,"Seguridad Social a cargo de la empresa","Seguridad Social a cargo de la empresa",Expense,B,,Yes,,D.A.A3.b,5,C,,,B,D.A.A3.b,642,642,532,532
643,"Aportaciones a sistemas complementarios de pensiones","Aportaciones a sistemas complementarios de pensiones",Expense,B,,Yes,,D.A.A3.b,5,C,,,B,D.A.A3.b,643,643,533,533
649,"Otros gastos sociales","Otros gastos sociales",Expense,B,,Yes,,D.A.A3.b,5,C,,,B,D.A.A3.b,649,649,534,534
D.A.A4,"A4. Dotaciones para amortizaciones de inmovilizado","A4. Dotaciones para amortizaciones de inmovilizado",Expense,B,,Yes,,D.A,3,E,,,B,D.A.A4,D.A,D.A.A4,535,535
680,"Amortización de gastos de establecimiento","Amortización de gastos de establecimiento",Expense,B,,Yes,,D.A.A4,4,C,,,B,D.A.A4,680,680,536,536
681,"Amortización del inmovilizado inmaterial","Amortización del inmovilizado inmaterial",Expense,B,,Yes,,D.A.A4,4,C,,,B,D.A.A4,681,681,537,537
682,"Amortización del inmovilizado material","Amortización del inmovilizado material",Expense,B,,Yes,,D.A.A4,4,C,,,B,D.A.A4,682,682,538,538
D.A.A5,"A5. Variación de las provisiones de tráfico","A5. Variación de las provisiones de tráfico",Expense,B,,Yes,,D.A,3,E,,,B,D.A.A5,D.A,D.A.A5,539,539
D.A.A5.a,"a) Variación de provisiones de existencias","a) Variación de provisiones de existencias",Expense,B,,Yes,,D.A.A5,4,E,,,B,D.A.A5.a,D.A,D.A.A5.a,540,540
693,"Dotación a la provisión de existencias","Dotación a la provisión de existencias",Expense,B,,Yes,,D.A.A5.a,5,C,,,B,D.A.A5.a,693,693,541,541
793,"Provisión de existencias aplicada","Provisión de existencias aplicada",Expense,B,,Yes,,D.A.A5.a,5,C,,,B,D.A.A5.a,793,793,542,542
