[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],Nivel,Tipo,Cuenta de la subcuenta,Desglose de la subcuenta,C/D de la subcuenta,Ultimo epigrafe,Izquierda(3),Sin signo,Orden,Order parent
60920,"Rappels por compras de otros aprovisionamientos","Rappels por compras de otros aprovisionamientos",Expense,B,,No,,6092,6,S,609,6092,B,O,609,60920,1142,522
61000,"Variación de existencias de mercaderías","Variación de existencias de mercaderías",Expense,B,Yes,No,W_DIFFERENCES_ACCT,610,6,S,610,#N/A,C,O,610,61000,1143,513
61100,"Variación de existencias de materias primas","Variación de existencias de materias primas",Expense,B,,No,,611,6,S,611,#N/A,C,O,611,61100,1144,523
61200,"Variación de existencias de otros aprovisionamientos","Variación de existencias de otros aprovisionamientos",Expense,B,,No,,612,6,S,612,#N/A,C,O,612,61200,1145,524
62000,"Gastos en investigación y desarrollo del ejercicio","Gastos en investigación y desarrollo del ejercicio",Expense,B,,No,,620,6,S,620,#N/A,C,O,620,62000,1146,552
62100,"Arrendamientos y cánones","Arrendamientos y cánones",Expense,B,,No,,621,6,S,621,#N/A,C,O,621,62100,1147,553
62200,"Reparaciones y conservación","Reparaciones y conservación",Expense,B,,No,,622,6,S,622,#N/A,C,O,622,62200,1148,554
62300,"Servicios de profesionales independientes","Servicios de profesionales independientes",Expense,B,,No,,623,6,S,623,#N/A,C,O,623,62300,1149,555
62400,"Transportes","Transportes",Expense,B,,No,,624,6,S,624,#N/A,C,O,624,62400,1150,556
62500,"Primas de seguros","Primas de seguros",Expense,B,,No,,625,6,S,625,#N/A,C,O,625,62500,1151,557
62600,"Servicios bancarios y similares","Servicios bancarios y similares",Expense,B,Yes,No,B_EXPENSE_ACCT,626,6,S,626,#N/A,C,O,626,62600,1152,558
62700,"Publicidad, propaganda y relaciones públicas","Publicidad, propaganda y relaciones públicas",Expense,B,,No,,627,6,S,627,#N/A,C,O,627,62700,1153,559
62800,"Suministros","Suministros",Expense,B,,No,,628,6,S,628,#N/A,C,O,628,62800,1154,560
62900,"Otros servicios","Otros servicios",Expense,B,,No,CB_EXPENSE_ACCT,629,6,S,629,#N/A,C,O,629,62900,1155,561
63000,"Impuesto sobre beneficios","Impuesto sobre beneficios",Expense,B,Yes,No,T_EXPENSE_ACCT,630,5,S,630,#N/A,C,O,630,63000,1156,687
63100,"Otros tributos","Otros tributos",Expense,B,,No,,631,6,S,631,#N/A,C,O,631,63100,1157,563
